IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2201,"Swap out CTD, DO and OPTAA instrument at site.",2022-08-09 01:25:00,2022-08-09 11:52:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2201,2022-08-09 05:44:05,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1000]",44.5151965,-125.3899796,2903.69,133.35,-1.78,0.57,0.53,0,"",3.14802,1.7257,2944.905,1.49,34.638,./files/dscs/R2201_24898.jpg
2201,2022-08-09 05:44:05,"cable plugs",44.5151965,-125.3899796,2903.69,133.35,-1.78,0.57,0.53,0,"Cabled Plug ",3.14802,1.7257,2944.905,1.49,34.638,
2201,2022-08-09 05:45:26,"plug with left manipulator",44.5151965,-125.3899796,2903.66,133.29,-1.81,0.53,0.53,0,"Cabled Plug ",3.1482,1.7274,2944.893,1.49,34.6386,./files/framegrabs/SDI1_8_9_2022 01_22_33_15771.jpg
2201,2022-08-09 05:46:16,"Plugs with left manipulator",44.5151969,-125.3899805,2903.74,131.98,-0.99,0.63,0.51,0,"Cabled Plug ",3.14812,1.7263,2944.891,1.49,34.6387,./files/framegrabs/SDI1_8_9_2022 01_22_33_15821.jpg
2201,2022-08-09 05:47:03,"surveying plugs",44.5151968,-125.3899804,2903.66,132.01,-1.39,0.54,0.52,0,"Cabled Plug ",3.14869,1.7318,2944.877,1.49,34.6399,./files/framegrabs/SDI1_8_9_2022 01_22_33_15878.jpg
2201,2022-08-09 05:48:10,"right manipulator reaching for right plug",44.5151983,-125.3899839,2903.69,131.02,0.38,1.08,0.48,0,"Cabled Plug ",3.14824,1.7282,2944.865,1.49,34.6382,./files/framegrabs/SDI1_8_9_2022 01_22_33_15945.jpg
2201,2022-08-09 05:49:11,"j12 grabbed by right manipulator",44.5151983,-125.3899839,2903.63,130.91,0.36,1.03,0.47,0,"Cabled Plug ",3.14806,1.7259,2944.864,1.49,34.6384,./files/framegrabs/SDI1_8_9_2022 01_22_33_15996.jpg
2201,2022-08-09 05:49:53,"j12 disconnected",44.5151983,-125.3899841,2903.71,130.7,-0.18,0.92,0.48,0,"",3.1481,1.7257,2944.861,1.49,34.639,./files/framegrabs/SDI1_8_9_2022 01_22_33_16030.jpg
2201,2022-08-09 05:50:17,"set down j 12 and reaching for j11 with right manipulator",44.5151983,-125.3899841,2903.62,130.69,-0.19,0.91,0.48,0,"",3.14824,1.7272,2944.862,1.49,34.6392,./files/framegrabs/SDI1_8_9_2022 01_22_33_16059.jpg
2201,2022-08-09 05:50:51,"port manipulator grabbed j11",44.5151983,-125.3899841,2903.68,130.61,-0.22,0.86,0.48,0,"Cabled Plug ",3.14805,1.7255,2944.877,1.49,34.6387,./files/framegrabs/SDI1_8_9_2022 01_22_33_16088.jpg
2201,2022-08-09 05:51:17,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1000]",44.5151984,-125.3899841,2903.63,130.56,-0.18,0.87,0.48,0,"",3.14818,1.727,2944.864,1.49,34.6387,./files/dscs/R2201_24899.jpg
2201,2022-08-09 05:51:21,"j11 plug set down",44.5151984,-125.3899841,2903.67,130.57,-0.18,0.87,0.48,0,"Cabled Plug ",3.14807,1.7255,2944.854,1.49,34.6389,./files/framegrabs/SDI1_8_9_2022 01_22_33_16126.jpg
2201,2022-08-09 05:51:37,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",44.5151984,-125.3899841,2903.69,130.55,-0.19,0.88,0.48,0,"",3.14819,1.7269,2944.868,1.49,34.6389,./files/dscs/R2201_24900.jpg
2201,2022-08-09 05:51:43,"right manipulator grabbing both j11 and j12 plugs from sea floor into basket",44.5151984,-125.3899841,2903.71,130.57,-0.19,0.87,0.48,0,"Cabled Plug ",3.14824,1.7272,2944.86,1.49,34.6392,./files/framegrabs/SDI1_8_9_2022 01_22_33_16143.jpg
2201,2022-08-09 05:52:06,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",44.5151983,-125.3899842,2903.66,130.7,-0.18,0.91,0.49,0,"",-,-,-,-,-,./files/dscs/R2201_24901.jpg
2201,2022-08-09 05:52:26,"both plugs in port arm",44.5151987,-125.3899856,2903.62,134.53,-0.84,0.93,0.49,0,"Cabled Plug ",3.14821,1.7271,2944.872,1.49,34.639,./files/framegrabs/SDI1_8_9_2022 01_22_33_16190.jpg
2201,2022-08-09 05:52:33,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",44.5151987,-125.3899855,2903.64,134.58,-0.99,0.92,0.49,0,"",3.14806,1.7257,2944.863,1.49,34.6386,./files/dscs/R2201_24902.jpg
2201,2022-08-09 05:53:35,"moving away from LJ01A with both plugs",44.5151968,-125.389985,2902.97,132.94,-5.46,0.09,1.23,0,"Cabled Plug ",3.1485,1.7277,2944.228,1.49,34.6422,./files/framegrabs/SDI1_8_9_2022 01_22_33_16272.jpg
2201,2022-08-09 05:54:48,"left arm reaching for CTD",44.5151397,-125.3900316,2900.64,160.66,-5.61,1.19,3.46,0.16,"Vehicle ",3.14839,1.7299,2941.941,1.49,34.6395,./files/framegrabs/SDI1_8_9_2022 01_22_33_16331.jpg
2201,2022-08-09 05:57:23,"approaching CTD/DO/OPTA",44.5150346,-125.3902556,2902.26,142.63,-4.4,2.1,1.85,0.23,"Vehicle ",3.14825,1.7279,2943.554,1.49,34.6391,./files/framegrabs/SDI1_8_9_2022 01_22_33_16487.jpg
