Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.actions,event_option.milestone,event_option.type,event_option.filename,event_option.event_comment,event_option.dummy_plug,event_option.nav,event_option.cabled_plug,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-11T23:15:42.059Z","45.9166555","-130.0250763","ASNAP","","admin","","","","","","","","","-5.92","-1.24","0.9","-8.2","74.69","191.17","0.58","SciCam","/SciCam.20240811_231542059.jpg","PilotCam","/PilotCam.20240811_231542059.jpg","BrowCam","/BrowCam.20240811_231542059.jpg","UserSelect","/UserSelect.20240811_231542059.jpg","","","-999.99","6.98","-999.99","-999.99","66b9461e111b2e001a287011"
"2024-08-11T23:15:57.088Z","45.9166553","-130.0250770","ASNAP","","admin","","","","","","","","","-5.97","-1.26","1.6","-7.1","74.78","191.19","0.58","SciCam","/SciCam.20240811_231557088.jpg","PilotCam","/PilotCam.20240811_231557088.jpg","BrowCam","/BrowCam.20240811_231557088.jpg","UserSelect","/UserSelect.20240811_231557088.jpg","","","-999.99","6.70","-999.99","-999.99","66b9462d111b2e001a287015"
"2024-08-11T23:16:12.120Z","45.9166553","-130.0250770","ASNAP","","admin","","","","","","","","","-5.97","-1.26","1.3","-7.5","75.03","191.19","0.58","SciCam","/SciCam.20240811_231612120.jpg","PilotCam","/PilotCam.20240811_231612120.jpg","BrowCam","/BrowCam.20240811_231612120.jpg","UserSelect","/UserSelect.20240811_231612120.jpg","","","-999.99","6.92","-999.99","-999.99","66b9463c111b2e001a287019"
"2024-08-11T23:16:24.535Z","45.9166557","-130.0250767","ROV Actions","Grabs oily cable","guest","(Port) Manipulator in use","","","","15 m","","","","-5.95","-1.22","0.8","-7.5","75.24","191.21","0.58","SciCam","/SciCam.20240811_231624535.jpg","PilotCam","/PilotCam.20240811_231624535.jpg","BrowCam","/BrowCam.20240811_231624535.jpg","UserSelect","/UserSelect.20240811_231624535.jpg","","","-999.99","6.71","-999.99","-999.99","66b94648111b2e001a28701d"
"2024-08-11T23:16:27.151Z","45.9166558","-130.0250768","ASNAP","","admin","","","","","","","","","-5.96","-1.21","0.7","-7.5","75.18","191.22","0.58","SciCam","/SciCam.20240811_231627151.jpg","PilotCam","/PilotCam.20240811_231627151.jpg","BrowCam","/BrowCam.20240811_231627151.jpg","UserSelect","/UserSelect.20240811_231627151.jpg","","","-999.99","7.03","-999.99","-999.99","66b9464b111b2e001a287021"
"2024-08-11T23:16:42.182Z","45.9166556","-130.0250764","ASNAP","","admin","","","","","","","","","-5.93","-1.23","0.4","-7.5","75.21","191.23","0.58","SciCam","/SciCam.20240811_231642182.jpg","PilotCam","/PilotCam.20240811_231642182.jpg","BrowCam","/BrowCam.20240811_231642182.jpg","UserSelect","/UserSelect.20240811_231642182.jpg","","","-999.99","6.83","-999.99","-999.99","66b9465a111b2e001a287025"
"2024-08-11T23:16:49.990Z","45.9166549","-130.0250762","ROV Actions","Releases right handle on PIA","guest","(Starboard) Manipulator in use","","","","","","","","-5.91","-1.31","0.1","-5.2","75.39","191.38","0.58","SciCam","/SciCam.20240811_231649990.jpg","PilotCam","/PilotCam.20240811_231649990.jpg","BrowCam","/BrowCam.20240811_231649990.jpg","UserSelect","/UserSelect.20240811_231649990.jpg","","","-999.99","6.79","-999.99","-999.99","66b94661111b2e001a287029"
"2024-08-11T23:16:57.213Z","45.9166515","-130.0250772","ASNAP","","admin","","","","","","","","","-5.99","-1.69","-1.4","-7.1","83.03","191.28","0.58","SciCam","/SciCam.20240811_231657213.jpg","PilotCam","/PilotCam.20240811_231657213.jpg","BrowCam","/BrowCam.20240811_231657213.jpg","UserSelect","/UserSelect.20240811_231657213.jpg","","","-999.99","6.93","-999.99","-999.99","66b94669111b2e001a28702d"
"2024-08-11T23:17:03.575Z","45.9166536","-130.0250784","Connection Status","Disconnected plug from oily cable connector","guest","","","","","","Disconnected","","","-6.08","-1.45","-0.2","-6.5","77.27","190.74","0.58","SciCam","/SciCam.20240811_231703575.jpg","PilotCam","/PilotCam.20240811_231703575.jpg","BrowCam","/BrowCam.20240811_231703575.jpg","UserSelect","/UserSelect.20240811_231703575.jpg","","","-999.99","6.85","-999.99","-999.99","66b9466f111b2e001a287031"
"2024-08-11T23:17:12.243Z","45.9166515","-130.0250804","ASNAP","","admin","","","","","","","","","-6.24","-1.69","-1.1","-6.2","81.29","191.00","0.58","SciCam","/SciCam.20240811_231712243.jpg","PilotCam","/PilotCam.20240811_231712243.jpg","BrowCam","/BrowCam.20240811_231712243.jpg","UserSelect","/UserSelect.20240811_231712243.jpg","","","-999.99","6.77","-999.99","-999.99","66b94678111b2e001a287035"
