Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.filename,event_option.event_comment,event_option.cabled_plug,event_option.dummy_plug,event_option.new_watchstander,event_option.type,event_option.nav,event_option.highlights,event_option.formation,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-31T02:31:40.155Z","45.9169179","-130.0243856","ASNAP","","admin","","","","","","","","","","","","47.67","27.92","1.7","-8.1","333.86","1536.11","5.61","SciCam","/SciCam.20240831_023140155.jpg","PilotCam","/PilotCam.20240831_023140155.jpg","BrowCam","/BrowCam.20240831_023140155.jpg","UserSelect","/UserSelect.20240831_023140155.jpg","","","-999.99","2.48","-999.99","-999.99","66d2808cf9835f001a802bc5"
"2024-08-31T02:31:55.185Z","45.9169249","-130.0243975","ASNAP","","admin","","","","","","","","","","","","46.74","28.70","2.2","-7.8","4.61","1536.08","5.46","SciCam","/SciCam.20240831_023155185.jpg","PilotCam","/PilotCam.20240831_023155185.jpg","BrowCam","/BrowCam.20240831_023155185.jpg","UserSelect","/UserSelect.20240831_023155185.jpg","","","-999.99","2.39","-999.99","-999.99","66d2809bf9835f001a802bc9"
"2024-08-31T02:32:10.204Z","45.9169389","-130.0244238","ASNAP","","admin","","","","","","","","","","","","44.70","30.26","1.1","-8.6","31.18","1536.08","5.40","SciCam","/SciCam.20240831_023210204.jpg","PilotCam","/PilotCam.20240831_023210204.jpg","BrowCam","/BrowCam.20240831_023210204.jpg","UserSelect","/UserSelect.20240831_023210204.jpg","","","-999.99","2.47","-999.99","-999.99","66d280aaf9835f001a802bcd"
"2024-08-31T02:32:25.227Z","45.9169657","-130.0244222","ASNAP","","admin","","","","","","","","","","","","44.83","33.24","1.4","-8.3","42.74","1536.03","5.57","SciCam","/SciCam.20240831_023225227.jpg","PilotCam","/PilotCam.20240831_023225227.jpg","BrowCam","/BrowCam.20240831_023225227.jpg","UserSelect","/UserSelect.20240831_023225227.jpg","","","-999.99","2.61","-999.99","-999.99","66d280b9f9835f001a802bd1"
"2024-08-31T02:32:40.253Z","45.9169729","-130.0244403","ASNAP","","admin","","","","","","","","","","","","43.42","34.04","1.3","-8.7","53.36","1536.57","4.98","SciCam","/SciCam.20240831_023240253.jpg","PilotCam","/PilotCam.20240831_023240253.jpg","BrowCam","/BrowCam.20240831_023240253.jpg","UserSelect","/UserSelect.20240831_023240253.jpg","","","-999.99","2.56","-999.99","-999.99","66d280c8f9835f001a802bd5"
"2024-08-31T02:32:55.279Z","45.9169739","-130.0244601","ASNAP","","admin","","","","","","","","","","","","41.89","34.15","1.1","-8.7","78.27","1537.18","4.23","SciCam","/SciCam.20240831_023255279.jpg","PilotCam","/PilotCam.20240831_023255279.jpg","BrowCam","/BrowCam.20240831_023255279.jpg","UserSelect","/UserSelect.20240831_023255279.jpg","","","-999.99","2.47","-999.99","-999.99","66d280d7f9835f001a802bd9"
"2024-08-31T02:33:10.313Z","45.9169538","-130.0244430","ASNAP","","admin","","","","","","","","","","","","43.21","31.92","1.0","-8.3","75.20","1538.20","3.36","SciCam","/SciCam.20240831_023310313.jpg","PilotCam","/PilotCam.20240831_023310313.jpg","BrowCam","/BrowCam.20240831_023310313.jpg","UserSelect","/UserSelect.20240831_023310313.jpg","","","-999.99","2.64","-999.99","-999.99","66d280e6f9835f001a802bdd"
"2024-08-31T02:33:25.344Z","45.9169441","-130.0244334","ASNAP","","admin","","","","","","","","","","","","43.96","30.84","1.4","-8.3","50.74","1539.04","2.34","SciCam","/SciCam.20240831_023325344.jpg","PilotCam","/PilotCam.20240831_023325344.jpg","BrowCam","/BrowCam.20240831_023325344.jpg","UserSelect","/UserSelect.20240831_023325344.jpg","","","-999.99","2.52","-999.99","-999.99","66d280f5f9835f001a802be1"
"2024-08-31T02:33:40.376Z","45.9169413","-130.0244286","ASNAP","","admin","","","","","","","","","","","","44.33","30.52","0.3","-7.0","43.92","1539.99","1.50","SciCam","/SciCam.20240831_023340376.jpg","PilotCam","/PilotCam.20240831_023340376.jpg","BrowCam","/BrowCam.20240831_023340376.jpg","UserSelect","/UserSelect.20240831_023340376.jpg","","","-999.99","2.40","-999.99","-999.99","66d28104f9835f001a802be5"
"2024-08-31T02:33:55.410Z","45.9169436","-130.0244237","ASNAP","","admin","","","","","","","","","","","","44.71","30.78","0.4","-7.4","39.18","1540.20","1.09","SciCam","/SciCam.20240831_023355410.jpg","PilotCam","/PilotCam.20240831_023355410.jpg","BrowCam","/BrowCam.20240831_023355410.jpg","UserSelect","/UserSelect.20240831_023355410.jpg","","","-999.99","2.47","-999.99","-999.99","66d28113f9835f001a802be9"
"2024-08-31T02:34:10.444Z","45.9169433","-130.0244237","ASNAP","","admin","","","","","","","","","","","","44.71","30.75","-1.0","-7.2","39.39","1540.27","1.07","SciCam","/SciCam.20240831_023410444.jpg","PilotCam","/PilotCam.20240831_023410444.jpg","BrowCam","/BrowCam.20240831_023410444.jpg","UserSelect","/UserSelect.20240831_023410444.jpg","","","-999.99","2.50","-999.99","-999.99","66d28122f9835f001a802bed"
"2024-08-31T02:34:25.477Z","45.9169430","-130.0244236","ASNAP","","admin","","","","","","","","","","","","44.72","30.71","-1.1","-7.3","39.51","1540.28","1.05","SciCam","/SciCam.20240831_023425477.jpg","PilotCam","/PilotCam.20240831_023425477.jpg","BrowCam","/BrowCam.20240831_023425477.jpg","UserSelect","/UserSelect.20240831_023425477.jpg","","","-999.99","2.49","-999.99","-999.99","66d28131f9835f001a802bf1"
"2024-08-31T02:34:40.509Z","45.9169430","-130.0244234","ASNAP","","admin","","","","","","","","","","","","44.73","30.71","-1.1","-7.2","39.63","1540.29","1.05","SciCam","/SciCam.20240831_023440509.jpg","PilotCam","/PilotCam.20240831_023440509.jpg","BrowCam","/BrowCam.20240831_023440509.jpg","UserSelect","/UserSelect.20240831_023440509.jpg","","","-999.99","2.49","-999.99","-999.99","66d28140f9835f001a802bf5"
