Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.filename,event_option.cabled_plug,event_option.dummy_plug,event_option.event_comment,event_option.highlights,event_option.type,event_option.sample_description,event_option.nav,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-22T07:09:37.316Z","44.3596830","-124.9645495","ASNAP","","admin","","","","","","","","","","","0.10","-2.90","0.5","-0.0","164.85","0.73","0.58","SciCam","/SciCam.20240822_070937316.jpg","PilotCam","/PilotCam.20240822_070937316.jpg","BrowCam","/BrowCam.20240822_070937316.jpg","UserSelect","/UserSelect.20240822_070937316.jpg","","","-999.99","14.94","-999.99","-999.99","66c6e431111b2e001a2b1066"
"2024-08-22T07:09:52.339Z","44.3596830","-124.9645501","ASNAP","","admin","","","","","","","","","","","0.05","-2.90","-0.7","-2.0","165.92","0.76","0.58","SciCam","/SciCam.20240822_070952339.jpg","PilotCam","/PilotCam.20240822_070952339.jpg","BrowCam","/BrowCam.20240822_070952339.jpg","UserSelect","/UserSelect.20240822_070952339.jpg","","","-999.99","14.97","-999.99","-999.99","66c6e440111b2e001a2b106a"
"2024-08-22T07:10:07.364Z","44.3596829","-124.9645515","ASNAP","","admin","","","","","","","","","","","-0.06","-2.92","-0.5","0.5","169.52","0.76","0.58","SciCam","/SciCam.20240822_071007364.jpg","PilotCam","/PilotCam.20240822_071007364.jpg","BrowCam","/BrowCam.20240822_071007364.jpg","UserSelect","/UserSelect.20240822_071007364.jpg","","","-999.99","14.95","-999.99","-999.99","66c6e44f111b2e001a2b106e"
"2024-08-22T07:10:15.563Z","44.3596867","-124.9645644","VEHICLE","","guest","Jason off deck","","","","","","","","","","-1.09","-2.49","-0.6","0.0","199.01","0.74","0.58","SciCam","/SciCam.20240822_071015563.jpg","PilotCam","/PilotCam.20240822_071015563.jpg","BrowCam","/BrowCam.20240822_071015563.jpg","UserSelect","/UserSelect.20240822_071015563.jpg","","","-999.99","14.98","-999.99","-999.99","66c6e457111b2e001a2b1072"
"2024-08-22T07:10:22.397Z","44.3596956","-124.9645732","ASNAP","","admin","","","","","","","","","","","-1.79","-1.51","-1.5","0.2","226.33","0.77","0.58","SciCam","/SciCam.20240822_071022397.jpg","PilotCam","/PilotCam.20240822_071022397.jpg","BrowCam","/BrowCam.20240822_071022397.jpg","UserSelect","/UserSelect.20240822_071022397.jpg","","","-999.99","14.95","-999.99","-999.99","66c6e45e111b2e001a2b1076"
"2024-08-22T07:10:28.683Z","44.3596961","-124.9645736","Name","Jose Cornejo","guest","","","","","","","","","","","-1.82","-1.45","-1.4","1.0","227.76","0.76","0.58","SciCam","/SciCam.20240822_071028683.jpg","PilotCam","/PilotCam.20240822_071028683.jpg","BrowCam","/BrowCam.20240822_071028683.jpg","UserSelect","/UserSelect.20240822_071028683.jpg","","","-999.99","14.93","-999.99","-999.99","66c6e464111b2e001a2b107e"
"2024-08-22T07:10:37.426Z","44.3596957","-124.9645734","ASNAP","","admin","","","","","","","","","","","-1.80","-1.49","-0.9","0.1","226.78","0.76","0.58","SciCam","/SciCam.20240822_071037426.jpg","PilotCam","/PilotCam.20240822_071037426.jpg","BrowCam","/BrowCam.20240822_071037426.jpg","UserSelect","/UserSelect.20240822_071037426.jpg","","","-999.99","14.96","-999.99","-999.99","66c6e46d111b2e001a2b1082"
"2024-08-22T07:10:52.456Z","44.3596957","-124.9645734","ASNAP","","admin","","","","","","","","","","","-1.80","-1.49","-1.0","0.2","226.69","0.76","0.58","SciCam","/SciCam.20240822_071052456.jpg","PilotCam","/PilotCam.20240822_071052456.jpg","BrowCam","/BrowCam.20240822_071052456.jpg","UserSelect","/UserSelect.20240822_071052456.jpg","","","-999.99","14.96","-999.99","-999.99","66c6e47c111b2e001a2b1086"
"2024-08-22T07:11:07.485Z","44.3596956","-124.9645731","ASNAP","","admin","","","","","","","","","","","-1.78","-1.50","-0.7","-0.9","226.24","0.78","0.58","SciCam","/SciCam.20240822_071107485.jpg","PilotCam","/PilotCam.20240822_071107485.jpg","BrowCam","/BrowCam.20240822_071107485.jpg","UserSelect","/UserSelect.20240822_071107485.jpg","","","-999.99","14.97","-999.99","-999.99","66c6e48b111b2e001a2b108a"
"2024-08-22T07:11:22.510Z","44.3596962","-124.9645737","ASNAP","","admin","","","","","","","","","","","-1.83","-1.44","-1.2","1.8","228.07","0.76","0.58","SciCam","/SciCam.20240822_071122510.jpg","PilotCam","/PilotCam.20240822_071122510.jpg","BrowCam","/BrowCam.20240822_071122510.jpg","UserSelect","/UserSelect.20240822_071122510.jpg","","","-999.99","14.97","-999.99","-999.99","66c6e49a111b2e001a2b108e"
