Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.new_watchstander,event_option.milestone,event_option.type,event_option.actions,event_option.filename,event_option.highlights,event_option.nav,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-15T17:32:32.274Z","44.3595227","-124.9647846","ASNAP","","admin","","","","","","","","-18.64","-20.72","-0.6","-5.6","249.55","531.69","0.58","SciCam","/SciCam.20240815_173232274.jpg","PilotCam","/PilotCam.20240815_173232274.jpg","BrowCam","/BrowCam.20240815_173232274.jpg","UserSelect","/UserSelect.20240815_173232274.jpg","","","-999.99","5.69","-999.99","-999.99","66be3bb0111b2e001a299016"
"2024-08-15T17:32:47.306Z","44.3595413","-124.9647406","ASNAP","","admin","","","","","","","","-15.13","-18.65","-0.0","-5.0","36.60","535.28","0.58","SciCam","/SciCam.20240815_173247306.jpg","PilotCam","/PilotCam.20240815_173247306.jpg","BrowCam","/BrowCam.20240815_173247306.jpg","UserSelect","/UserSelect.20240815_173247306.jpg","","","-999.99","5.77","-999.99","-999.99","66be3bbf111b2e001a29901a"
"2024-08-15T17:33:02.338Z","44.3595016","-124.9647653","ASNAP","","admin","","","","","","","","-17.10","-23.06","-1.7","-4.5","189.05","539.01","0.58","SciCam","/SciCam.20240815_173302338.jpg","PilotCam","/PilotCam.20240815_173302338.jpg","BrowCam","/BrowCam.20240815_173302338.jpg","UserSelect","/UserSelect.20240815_173302338.jpg","","","-999.99","5.83","-999.99","-999.99","66be3bce111b2e001a29901e"
"2024-08-15T17:33:17.371Z","44.3595044","-124.9647758","ASNAP","","admin","","","","","","","","-17.94","-22.75","-0.4","-5.6","211.98","541.00","0.58","SciCam","/SciCam.20240815_173317371.jpg","PilotCam","/PilotCam.20240815_173317371.jpg","BrowCam","/BrowCam.20240815_173317371.jpg","UserSelect","/UserSelect.20240815_173317371.jpg","","","-999.99","5.72","-999.99","-999.99","66be3bdd111b2e001a299022"
"2024-08-15T17:33:32.405Z","44.3594947","-124.9647688","ASNAP","","admin","","","","","","","","-17.38","-23.83","-1.2","-5.3","183.83","542.74","0.58","SciCam","/SciCam.20240815_173332405.jpg","PilotCam","/PilotCam.20240815_173332405.jpg","BrowCam","/BrowCam.20240815_173332405.jpg","UserSelect","/UserSelect.20240815_173332405.jpg","","","-999.99","5.75","-999.99","-999.99","66be3bec111b2e001a299026"
"2024-08-15T17:33:47.435Z","44.3594890","-124.9647704","ASNAP","","admin","","","","","","","","-17.51","-24.46","0.8","-3.4","187.58","546.96","0.58","SciCam","/SciCam.20240815_173347435.jpg","PilotCam","/PilotCam.20240815_173347435.jpg","BrowCam","/BrowCam.20240815_173347435.jpg","UserSelect","/UserSelect.20240815_173347435.jpg","","","-999.99","5.54","-999.99","-999.99","66be3bfb111b2e001a29902a"
"2024-08-15T17:34:02.466Z","44.3594652","-124.9647812","ASNAP","","admin","","","","","","","","-18.37","-27.11","-1.4","-3.2","187.28","552.24","28.18","SciCam","/SciCam.20240815_173402466.jpg","PilotCam","/PilotCam.20240815_173402466.jpg","BrowCam","/BrowCam.20240815_173402466.jpg","UserSelect","/UserSelect.20240815_173402466.jpg","","","-999.99","5.59","-999.99","-999.99","66be3c0a111b2e001a29902e"
"2024-08-15T17:34:17.497Z","44.3594341","-124.9648049","ASNAP","","admin","","","","","","","","-20.26","-30.56","0.1","-4.5","188.36","556.68","23.93","SciCam","/SciCam.20240815_173417497.jpg","PilotCam","/PilotCam.20240815_173417497.jpg","BrowCam","/BrowCam.20240815_173417497.jpg","UserSelect","/UserSelect.20240815_173417497.jpg","","","-999.99","5.50","-999.99","-999.99","66be3c19111b2e001a299032"
"2024-08-15T17:34:32.527Z","44.3594060","-124.9648129","ASNAP","","admin","","","","","","","","-20.90","-33.69","-1.1","-6.2","184.77","559.50","21.04","SciCam","/SciCam.20240815_173432527.jpg","PilotCam","/PilotCam.20240815_173432527.jpg","BrowCam","/BrowCam.20240815_173432527.jpg","UserSelect","/UserSelect.20240815_173432527.jpg","","","-999.99","5.58","-999.99","-999.99","66be3c28111b2e001a299036"
"2024-08-15T17:34:47.548Z","44.3593725","-124.9648389","ASNAP","","admin","","","","","","","","-22.97","-37.41","-1.7","-3.3","184.18","562.50","18.31","SciCam","/SciCam.20240815_173447548.jpg","PilotCam","/PilotCam.20240815_173447548.jpg","BrowCam","/BrowCam.20240815_173447548.jpg","UserSelect","/UserSelect.20240815_173447548.jpg","","","-999.99","5.51","-999.99","-999.99","66be3c37111b2e001a29903a"
