"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.filename","event_option.milestone","event_option.nav","event_option.new_watchstander","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"64e4cafc95482d0019b1ea18","2023-08-22T14:49:32.451Z","ASNAP","admin","",,,,,,,"meters","7.2","meters","70.223","deg","214.238","ddeg","44.63733861","ddeg","-124.30573448",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144932451.jpg",,"/BrowCam.20230822_144932451.jpg",,"/UserSelect.20230822_144932451.jpg",,"/SciCam.20230822_144932451.jpg","meters","0.00","meters","70.21","deg","214.38","ddeg","0.6465653","meters","8658582.47","meters","-4888008.68","ddeg","-15.1891409","deg","0.7","deg","-1.2","degC","8.02","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cb1a95482d0019b1ea1c","2023-08-22T14:50:02.495Z","ASNAP","admin","",,,,,,,"meters","9.7","meters","70.282","deg","214.316","ddeg","44.63734070","ddeg","-124.30575021",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145002495.jpg",,"/BrowCam.20230822_145002495.jpg",,"/UserSelect.20230822_145002495.jpg",,"/SciCam.20230822_145002495.jpg","meters","0.00","meters","70.32","deg","214.45","ddeg","0.6465680","meters","8658582.06","meters","-4888008.38","ddeg","-15.1891461","deg","0.7","deg","-1.1","degC","7.87","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cb3895482d0019b1ea20","2023-08-22T14:50:32.537Z","ASNAP","admin","",,,,,,,"meters","12.6","meters","70.247","deg","214.426","ddeg","44.63733877","ddeg","-124.30576231",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145032537.jpg",,"/BrowCam.20230822_145032537.jpg",,"/UserSelect.20230822_145032537.jpg",,"/SciCam.20230822_145032537.jpg","meters","0.00","meters","70.29","deg","214.56","ddeg","0.6465680","meters","8658581.75","meters","-4888008.38","ddeg","-15.1891500","deg","1.0","deg","-1.0","degC","7.81","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cb5695482d0019b1ea24","2023-08-22T14:51:02.558Z","ASNAP","admin","",,,,,,,"meters","16.1","meters","70.175","deg","214.403","ddeg","44.63734280","ddeg","-124.30578158",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145102558.jpg",,"/BrowCam.20230822_145102558.jpg",,"/UserSelect.20230822_145102558.jpg",,"/SciCam.20230822_145102558.jpg","meters","0.00","meters","70.18","deg","214.53","ddeg","0.6465689","meters","8658581.14","meters","-4888008.27","ddeg","-15.1891577","deg","1.2","deg","-1.2","degC","7.72","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cb7495482d0019b1ea28","2023-08-22T14:51:32.599Z","ASNAP","admin","",,,,,,,"meters","20.3","meters","70.203","deg","214.318","ddeg","44.63734282","ddeg","-124.30581013",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145132599.jpg",,"/BrowCam.20230822_145132599.jpg",,"/UserSelect.20230822_145132599.jpg",,"/SciCam.20230822_145132599.jpg","meters","0.00","meters","70.29","deg","214.44","ddeg","0.6465732","meters","8658580.46","meters","-4888007.80","ddeg","-15.1891663","deg","0.8","deg","-1.0","degC","7.67","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cb8995482d0019b1ea2c","2023-08-22T14:51:53.017Z","FREE_FORM","guest","Ascending",,,,,,,"meters","23.6","meters","70.134","deg","214.400","ddeg","44.63734050","ddeg","-124.30582930",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145153017.jpg",,"/BrowCam.20230822_145153017.jpg",,"/UserSelect.20230822_145153017.jpg",,"/SciCam.20230822_145153017.jpg","meters","0.00","meters","70.23","deg","214.50","ddeg","0.6465739","meters","8658579.96","meters","-4888007.72","ddeg","-15.1891726","deg","0.9","deg","-1.0","degC","7.90","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cb9295482d0019b1ea30","2023-08-22T14:52:02.616Z","ASNAP","admin","",,,,,,,"meters","25.2","meters","70.167","deg","214.399","ddeg","44.63733988","ddeg","-124.30583675",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145202616.jpg",,"/BrowCam.20230822_145202616.jpg",,"/UserSelect.20230822_145202616.jpg",,"/SciCam.20230822_145202616.jpg","meters","0.00","meters","70.10","deg","214.52","ddeg","0.6465733","meters","8658579.68","meters","-4888007.79","ddeg","-15.1891761","deg","1.1","deg","-1.2","degC","7.86","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cbb095482d0019b1ea34","2023-08-22T14:52:32.653Z","ASNAP","admin","",,,,,,,"meters","30.8","meters","70.149","deg","214.346","ddeg","44.63733829","ddeg","-124.30585900",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145232653.jpg",,"/BrowCam.20230822_145232653.jpg",,"/UserSelect.20230822_145232653.jpg",,"/SciCam.20230822_145232653.jpg","meters","0.00","meters","70.13","deg","214.46","ddeg","0.6465739","meters","8658579.08","meters","-4888007.72","ddeg","-15.1891837","deg","1.1","deg","-1.2","degC","7.84","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cbce95482d0019b1ea38","2023-08-22T14:53:02.674Z","ASNAP","admin","",,,,,,,"meters","37.2","meters","70.115","deg","214.342","ddeg","44.63733794","ddeg","-124.30587920",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145302674.jpg",,"/BrowCam.20230822_145302674.jpg",,"/UserSelect.20230822_145302674.jpg",,"/SciCam.20230822_145302674.jpg","meters","0.00","meters","70.10","deg","214.45","ddeg","0.6465748","meters","8658578.56","meters","-4888007.62","ddeg","-15.1891902","deg","1.2","deg","-1.2","degC","7.92","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cbec95482d0019b1ea3c","2023-08-22T14:53:32.698Z","ASNAP","admin","",,,,,,,"meters","44.4","meters","70.210","deg","214.119","ddeg","44.63734036","ddeg","-124.30589382",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_145332698.jpg",,"/BrowCam.20230822_145332698.jpg",,"/UserSelect.20230822_145332698.jpg",,"/SciCam.20230822_145332698.jpg","meters","0.00","meters","70.30","deg","214.22","ddeg","0.6465794","meters","8658578.26","meters","-4888007.11","ddeg","-15.1891940","deg","1.1","deg","-1.2","degC","7.81","degC","-999.99","degC","-999.99","degC","-999.99"
